county,fips,type,facilty,population_2021
Adair County,001,Jail,,101
Allen County,003,Jail,,70
Anderson County,005,Jail,,Closed
Ballard County,007,Jail,,57
Barren County,009,Jail,,230
Bath County,011,Jail,,Closed
Bell County,013,Jail,,114
Boone County,015,Jail,,478
Bourbon County,017,Jail,,249
Boyd County,019,Jail,,270
Boyle County,021,Jail,,207
Bracken County,023,Jail,,Closed
Breathitt County,025,Jail,,Closed
Breckinridge County,027,Jail,,208
Bullitt County,029,Jail,,189
Butler County,031,Jail,,43
Caldwell County,033,Jail,,Data Unavailable
Calloway County,035,Jail,,165
Campbell County,037,Jail,,433
Carlisle County,039,Jail,,Closed
Carroll County,041,Jail,,132
Carter County,043,Jail,,201
Casey County,045,Jail,,216
Christian County,047,Jail,,625
Clark County,049,Jail,,140
Clay County,051,Jail,,246
Clinton County,053,Jail,,95
Crittenden County,055,Jail,,192
Cumberland County,057,Jail,,Closed
Daviess County,059,Jail,,543
Edmonson County,061,Jail,,Closed
Elliott County,063,Jail,,Closed
Estill County,065,Jail,,Closed
Fayette County,067,Jail,,924
Fleming County,069,Jail,,Closed
Floyd County,071,Jail,,146
Franklin County,073,Jail,,200
Fulton County,075,Jail,,373
Gallatin County,077,Jail,,Closed
Garrard County,079,Jail,,Closed
Grant County,081,Jail,,241
Graves County,083,Jail,,93
Grayson County,085,Jail,,620
Green County,087,Jail,,Closed
Greenup County,089,Jail,,99
Hancock County,091,Jail,,Closed
Hardin County,093,Jail,,653
Harlan County,095,Jail,,189
Harrison County,097,Jail,,Closed
Hart County,099,Jail,,132
Henderson County,101,Jail,,457
Henry County,103,Jail,,Closed
Hickman County,105,Jail,,Closed
Hopkins County,107,Jail,,365
Jackson County,109,Jail,,84
Jefferson County,111,Jail,,1389
Jessamine County,113,Jail,,123
Johnson County,115,Jail,,175
Kenton County,117,Jail,,583
Knott County,119,Jail,,Closed
Knox County,121,Jail,,263
LaRue County,123,Jail,,140
Laurel County,125,Jail,,811
Lawrence County,127,Jail,,Closed
Lee County,129,Jail,,227
Leslie County,131,Jail,,218
Letcher County,133,Jail,,104
Lewis County,135,Jail,,Closed
Lincoln County,137,Jail,,Data Unavailable
Livingston County,139,Jail,,Closed
Logan County,141,Jail,,141
Lyon County,143,Jail,,Closed
Madison County,151,Jail,,274
Magoffin County,153,Jail,,Closed
Marion County,155,Jail,,240
Marshall County,157,Jail,,189
Martin County,159,Jail,,0
Mason County,161,Jail,,167
McCracken County,145,Jail,,492
McCreary County,147,Jail,,Closed
McLean County,149,Jail,,Closed
Meade County,163,Jail,,131
Menifee County,165,Jail,,Closed
Mercer County,167,Jail,,Closed
Metcalfe County,169,Jail,,Closed
Monroe County,171,Jail,,Closed
Montgomery County,173,Jail,,170
Morgan County,175,Jail,,Closed
Muhlenberg County,177,Jail,,225
Nelson County,179,Jail,,111
Nicholas County,181,Jail,,Closed
Ohio County,183,Jail,,Data Unavailable
Oldham County,185,Jail,,245
Owen County,187,Jail,,Closed
Owsley County,189,Jail,,Closed
Pendleton County,191,Jail,,Closed
Perry County,193,Jail,,193
Pike County,195,Jail,,335
Powell County,197,Jail,,230
Pulaski County,199,Jail,,326
Robertson County,201,Jail,,Closed
Rockcastle County,203,Jail,,65
Rowan County,205,Jail,,295
Russell County,207,Jail,,118
Scott County,209,Jail,,97
Shelby County,211,Jail,,270
Simpson County,213,Jail,,227
Spencer County,215,Jail,,Closed
Taylor County,217,Jail,,180
Todd County,219,Jail,,130
Trigg County,221,Jail,,Closed
Trimble County,223,Jail,,Closed
Union County,225,Jail,,Closed
Warren County,227,Jail,,633
Washington County,229,Jail,,Closed
Wayne County,231,Jail,,125
Webster County,233,Jail,,206
Whitley County,235,Jail,,262
Wolfe County,237,Jail,,Closed
Woodford County,239,Jail,,97