county,fips,jail,state prison,federal prison
Adair County,001,101,,
Allen County,003,70,,
Anderson County,005,Closed,,
Ballard County,007,57,,
Barren County,009,230,,
Bath County,011,Closed,,
Bell County,013,114,300,
Boone County,015,478,,
Bourbon County,017,249,,
Boyd County,019,270,,967
Boyle County,021,207,,
Bracken County,023,Closed,,
Breathitt County,025,Closed,,
Breckinridge County,027,208,,
Bullitt County,029,189,,
Butler County,031,43,,
Caldwell County,033,data unavailable,693,
Calloway County,035,165,,
Campbell County,037,433,,
Carlisle County,039,Closed,,
Carroll County,041,132,,
Carter County,043,201,,
Casey County,045,216,1938,
Christian County,047,625,,
Clark County,049,140,,
Clay County,051,246,,1014
Clinton County,053,95,,
Crittenden County,055,192,,
Cumberland County,057,Closed,,
Daviess County,059,543,,
Edmonson County,061,Closed,,
Elliott County,063,Closed,976,
Estill County,065,Closed,,
Fayette County,067,924,320,1174
Fleming County,069,Closed,,
Floyd County,071,146,,
Franklin County,073,200,,
Fulton County,075,373,,
Gallatin County,077,Closed,,
Garrard County,079,Closed,,
Grant County,081,241,,
Graves County,083,93,,
Grayson County,085,620,,
Green County,087,Closed,,
Greenup County,089,99,,
Hancock County,091,Closed,,
Hardin County,093,653,,
Harlan County,095,189,,
Harrison County,097,Closed,,
Hart County,099,132,,
Henderson County,101,457,,
Henry County,103,Closed,,
Hickman County,105,Closed,,
Hopkins County,107,365,,
Jackson County,109,84,,
Jefferson County,111,1389,,
Jessamine County,113,123,,
Johnson County,115,175,,
Kenton County,117,583,,
Knott County,119,Closed,,
Knox County,121,263,,
LaRue County,123,140,,
Laurel County,125,811,,
Lawrence County,127,Closed,,
Lee County,129,227,data unavailable,
Leslie County,131,218,,
Letcher County,133,104,,
Lewis County,135,Closed,,
Lincoln County,137,data unavailable,,
Livingston County,139,Closed,,
Logan County,141,141,,
Lyon County,143,Closed,856,
Madison County,151,274,,
Magoffin County,153,Closed,,
Marion County,155,240,,
Marshall County,157,189,,
Martin County,159,0,,1303
Mason County,161,167,,
McCracken County,145,492,,
McCreary County,147,Closed,,1446
McLean County,149,Closed,,
Meade County,163,131,,
Menifee County,165,Closed,,
Mercer County,167,Closed,1230,
Metcalfe County,169,Closed,,
Monroe County,171,Closed,,
Montgomery County,173,170,,
Morgan County,175,Closed,,
Muhlenberg County,177,225,982,
Nelson County,179,111,,
Nicholas County,181,Closed,,
Ohio County,183,data unavailable,,
Oldham County,185,245,4176,
Owen County,187,Closed,,
Owsley County,189,Closed,,
Pendleton County,191,Closed,,
Perry County,193,193,,
Pike County,195,335,,
Powell County,197,230,,
Pulaski County,199,326,,
Robertson County,201,Closed,,
Rockcastle County,203,65,,
Rowan County,205,295,,
Russell County,207,118,,
Scott County,209,97,,
Shelby County,211,270,,
Simpson County,213,227,,
Spencer County,215,Closed,,
Taylor County,217,180,,
Todd County,219,130,,
Trigg County,221,Closed,,
Trimble County,223,Closed,,
Union County,225,Closed,,
Warren County,227,633,,
Washington County,229,Closed,,
Wayne County,231,125,,
Webster County,233,206,,
Whitley County,235,262,,
Wolfe County,237,Closed,,
Woodford County,239,97,,