State,County,FIPS,Type,Facility,Physical Address,Provider,first minute,additional minutes,fifteen minute,lat,long,address source,website
Kentucky,Fayette County,67,Jail,Lexington Fayette Urban Detention,200 E Main St Lexington KY 40507,Securus,0.14,0.14,2.10,38.04476,-84.49559,online mapping service,http://jail.lexingtonky.gov/
Kentucky,Franklin County,73,Jail,Franklin County Regional Jail,400 Coffee Tree Rd Frankfort KY 40604,Securus,0.21,0.21,3.15,38.18117,-84.85858,online mapping service,http://franklincountyregionaljail.com/
Kentucky,Harlan County,95,Jail,Harlan County Detention Center,6000 HWY KY-38 Evarts KY 40828,Telmate,0.25,0.25,3.75,36.85404,-83.23507,online mapping service,http://www.harlandc.com/
Kentucky,Jessamine County,113,Jail,Jessamine County Detention Center,229 E Maple St Nicholasville KY 40356,Telmate,0.25,0.25,3.75,37.88006,-84.57014,online mapping service,http://www.jessaminedetention.com/
Kentucky,Laurel County,125,Jail,Laurel County Correctional Center,204 W 4th St London KY 40741,Telmate,0.25,0.25,3.75,37.12727,-84.08416,online mapping service,http://www.laurelcountycorrections.com/laurelcoc_inmatelist.html
Kentucky,Leslie County,131,Jail,Leslie County Detention Center,2125 KY-118 Hyden KY 41749,Telmate,0.25,0.25,3.75,37.1637,-83.41072,online mapping service,http://www.lesliecountydetention.com/
Kentucky,Marion County,155,Jail,Marion County Detention Center,201 Warehouse Rd Lebanon KY 40033,Telmate,0.25,0.25,3.75,37.56568,-85.26889,online mapping service,none
Kentucky,Perry County,193,Jail,Kentucky River Regional Jail,200 Justice Dr Hazard KY 41701,Telmate,0.25,0.25,3.75,37.29867,-83.216,online mapping service,https://perrycounty.ky.gov/da/Pages/jail.aspx
Kentucky,Pulaski County,199,Jail,Pulaski County Detention Center,300 Hail Knob Rd Somerset KY 42503,Telmate,0.25,0.25,3.75,37.08537,-84.62501,online mapping service,http://www.pulaskijail.com/
Kentucky,Graves County,83,Jail,Graves County Jail-All Locations,103 E South St Mayfield KY 42066,Securus,0.30,0.30,4.50,36.7408,-88.63499,online mapping service,http://www.gravescountyjail.net/
Kentucky,Lee County,129,Jail,Three Forks Regional Jail,2221 Fairgrounds Ridge Rd Beattyville KY 41311,Securus,0.30,0.30,4.50,37.60545,-83.7101,online mapping service,http://www.threeforksregionaljail.com/
Kentucky,Carter County,43,Jail,Carter County Detention Center,13 Crossbar Rd Grayson KY 41143,Securus,0.75,0.34,5.51,38.3314,-82.93777,online mapping service,http://cartercounty.ky.gov/Elected-Officials/Pages/County-Officials.aspx
Kentucky,Jefferson County,111,Jail,Community Correctional Center,316 E Chestnut St Louisville KY 40202,Securus,1.73,0.23,4.95,38.24698,-85.74795,online mapping service,none
Kentucky,Jefferson County,111,Jail,Louisville Metro Department of Corrections,400 S 6th St Louisville KY 40202,Securus,1.73,0.23,4.95,38.25327,-85.76071,online mapping service,https://louisvilleky.gov/government/corrections
Kentucky,Caldwell County,33,Jail,Caldwell County Jail,111 E Market St Princeton KY 42445,Securus,1.78,0.28,5.70,37.10899,-87.88201,online mapping service,http://www.caldwellcountyjail.com/
Kentucky,Hardin County,93,Jail,Hardin County Detention Center- (All Locations),100 Lawson Blvd Elizabethtown KY 42701,Securus,1.79,0.29,5.85,37.66298,-85.84963,online mapping service,http://www.hcdetention.com/hardin_inmatelist.html
Kentucky,Barren County,9,Jail,Barren County Detention Center,201 Samson St Glasgow KY 42141,Securus,1.80,0.30,6.00,37.00068,-85.91972,online mapping service,http://www.barrencountykyjail.com/
Kentucky,Woodford County,239,Jail,Woodford County Fiscal Ct,103 S Main St #200 Versailles KY 40383,Securus,1.80,0.30,6.00,38.05266,-84.73063,online mapping service,https://woodfordcounty.ky.gov/gov/Pages/coclerk.aspx
Kentucky,Nelson County,179,Jail,Nelson County Detention Center,810 W Stephen Foster Ave Bardstown KY 40004,Securus,1.82,0.32,6.30,37.81096,-85.47931,online mapping service,http://www.nelsoncountyjailky.com/
Kentucky,Clay County,51,Jail,Clay County Detention Center,67 Shamrock Rd Manchester KY 40962,Securus,1.85,0.35,6.75,37.13521,-83.76103,online mapping service,http://www.claycountydetention.com/
Kentucky,Crittenden County,55,Jail,Crittenden County Detention Center,208 West Carlisle St Marion KY 42064,Securus,1.87,0.37,7.05,37.33218,-88.08328,online mapping service,http://www.crittendencountydetention.com/
Kentucky,Scott County,209,Jail,Scott County Detention Center,130 N. Court St Georgetown KY 40324,Securus,1.87,0.37,7.05,38.21098,-84.55837,online mapping service,http://www.scottjailky.com/Inmate_Lookup.html
Kentucky,Letcher County,133,Jail,Letcher County Jail,156 Main St Whitesburg KY 41858,Securus,1.89,0.39,7.35,37.118,-82.82668,online mapping service,http://www.letcherjail.com/
Kentucky,Floyd County,71,Jail,Floyd County Detention Center,151 S Central Ave Prestonsburg KY 41653,Securus,1.90,0.40,7.50,37.66845,-82.77099,online mapping service,http://www.fcsoky.us/
Kentucky,Warren County,227,Jail,Warren County Regional Jail,920 Kentucky St Bowling Green KY 42101,Securus,1.97,0.47,8.55,36.99512,-86.4402,online mapping service,http://www.warrencountyjail.com/
Kentucky,Boyd County,19,Jail,Boyd County Detention Center,209 28th St Catlettsburg KY 41129,Securus,2.07,0.32,6.55,38.41541,-82.59764,online mapping service,http://www.boydcojail.com/
Kentucky,Rowan County,205,Jail,Rowan County Detention Center,1075 S Tolliver Rd Morehead KY 40351,Securus,3.06,0.31,7.40,38.1926,-83.41686,online mapping service,http://www.rowancountydc.org/
Kentucky,Johnson County,115,Jail,Big Sandy Regional Detention Center,904 3rd St Paintsville KY 41240,Securus,3.16,0.41,8.90,37.82553,-82.82729,online mapping service,http://www.bsrdc.com/
Kentucky,Carroll County,41,Jail,Carroll County Detention Center,800 Clay St Carrollton KY 41008,Securus,3.18,0.43,9.20,38.67694,-85.17364,online mapping service,http://www.carrolldetention.com/
Kentucky,Clinton County,53,Jail,Clinton County Jail,100 South Cross Street Albany KY 42602,Securus,3.20,0.20,6.02,36.69047,-85.13541,online mapping service,https://nisquallycorrections.com/kentucky/county-jail/clinton-county-jail-4/
Kentucky,Henderson County,101,Jail,Henderson County Detention Center,380 Borax Dr Henderson KY 42420,Securus,3.32,0.57,11.30,37.81305,-87.62752,online mapping service,http://hendersoncountydetention.com/